#  E (eV)   dos(E)     Int dos(E)
 -0.946  0.4605E+00  0.2098E+01
 -0.936  0.4760E+00  0.2103E+01
 -0.926  0.4914E+00  0.2108E+01
 -0.916  0.5063E+00  0.2113E+01
 -0.906  0.5169E+00  0.2118E+01
 -0.896  0.5259E+00  0.2124E+01
 -0.886  0.5347E+00  0.2129E+01
 -0.876  0.5432E+00  0.2134E+01
 -0.866  0.5513E+00  0.2140E+01
 -0.856  0.5593E+00  0.2146E+01
 -0.846  0.5669E+00  0.2151E+01
 -0.836  0.5742E+00  0.2157E+01
 -0.826  0.5813E+00  0.2163E+01
 -0.816  0.5873E+00  0.2169E+01
 -0.806  0.5934E+00  0.2175E+01
 -0.796  0.5998E+00  0.2181E+01
 -0.786  0.6065E+00  0.2187E+01
 -0.776  0.6134E+00  0.2193E+01
 -0.766  0.6206E+00  0.2199E+01
 -0.756  0.6280E+00  0.2205E+01
 -0.746  0.6358E+00  0.2212E+01
 -0.736  0.6438E+00  0.2218E+01
 -0.726  0.6534E+00  0.2225E+01
 -0.716  0.6653E+00  0.2231E+01
 -0.706  0.6797E+00  0.2238E+01
 -0.696  0.6964E+00  0.2245E+01
 -0.686  0.7152E+00  0.2252E+01
 -0.676  0.7357E+00  0.2259E+01
 -0.666  0.7586E+00  0.2267E+01
 -0.656  0.7837E+00  0.2275E+01
 -0.646  0.8111E+00  0.2283E+01
 -0.636  0.8409E+00  0.2291E+01
 -0.626  0.9011E+00  0.2300E+01
 -0.616  0.9592E+00  0.2310E+01
 -0.606  0.1035E+01  0.2320E+01
 -0.596  0.1118E+01  0.2332E+01
 -0.586  0.1206E+01  0.2344E+01
 -0.576  0.1304E+01  0.2357E+01
 -0.566  0.1454E+01  0.2371E+01
 -0.556  0.1523E+01  0.2386E+01
 -0.546  0.1539E+01  0.2402E+01
 -0.536  0.1506E+01  0.2417E+01
 -0.526  0.1480E+01  0.2432E+01
 -0.516  0.1464E+01  0.2446E+01
 -0.506  0.1459E+01  0.2461E+01
 -0.496  0.1464E+01  0.2476E+01
 -0.486  0.1463E+01  0.2490E+01
 -0.476  0.1456E+01  0.2505E+01
 -0.466  0.1444E+01  0.2519E+01
 -0.456  0.1425E+01  0.2533E+01
 -0.446  0.1409E+01  0.2548E+01
 -0.436  0.1392E+01  0.2561E+01
 -0.426  0.1374E+01  0.2575E+01
 -0.416  0.1355E+01  0.2589E+01
 -0.406  0.1334E+01  0.2602E+01
 -0.396  0.1313E+01  0.2615E+01
 -0.386  0.1290E+01  0.2628E+01
 -0.376  0.1267E+01  0.2641E+01
 -0.366  0.1242E+01  0.2653E+01
 -0.356  0.1217E+01  0.2665E+01
 -0.346  0.1193E+01  0.2677E+01
 -0.336  0.1167E+01  0.2689E+01
 -0.326  0.1142E+01  0.2700E+01
 -0.316  0.1116E+01  0.2712E+01
 -0.306  0.1089E+01  0.2722E+01
 -0.296  0.1063E+01  0.2733E+01
 -0.286  0.1037E+01  0.2743E+01
 -0.276  0.1013E+01  0.2754E+01
 -0.266  0.9896E+00  0.2763E+01
 -0.256  0.9676E+00  0.2773E+01
 -0.246  0.9466E+00  0.2783E+01
 -0.236  0.9268E+00  0.2792E+01
 -0.226  0.9082E+00  0.2801E+01
 -0.216  0.8906E+00  0.2810E+01
 -0.206  0.8741E+00  0.2819E+01
 -0.196  0.8587E+00  0.2827E+01
 -0.186  0.8444E+00  0.2836E+01
 -0.176  0.8313E+00  0.2844E+01
 -0.166  0.8191E+00  0.2852E+01
 -0.156  0.8078E+00  0.2860E+01
 -0.146  0.7972E+00  0.2868E+01
 -0.136  0.7873E+00  0.2876E+01
 -0.126  0.7780E+00  0.2884E+01
 -0.116  0.7690E+00  0.2892E+01
 -0.106  0.7602E+00  0.2899E+01
 -0.096  0.7515E+00  0.2907E+01
 -0.086  0.7429E+00  0.2914E+01
 -0.076  0.7344E+00  0.2921E+01
 -0.066  0.7266E+00  0.2929E+01
 -0.056  0.7193E+00  0.2936E+01
 -0.046  0.7120E+00  0.2943E+01
 -0.036  0.7049E+00  0.2950E+01
 -0.026  0.6978E+00  0.2957E+01
 -0.016  0.6907E+00  0.2964E+01
 -0.006  0.6838E+00  0.2971E+01
  0.004  0.6769E+00  0.2978E+01
  0.014  0.6701E+00  0.2984E+01
  0.024  0.6632E+00  0.2991E+01
  0.034  0.6565E+00  0.2997E+01
  0.044  0.6499E+00  0.3004E+01
  0.054  0.6434E+00  0.3010E+01
  0.064  0.6371E+00  0.3017E+01
  0.074  0.6309E+00  0.3023E+01
  0.084  0.6248E+00  0.3029E+01
  0.094  0.6189E+00  0.3036E+01
  0.104  0.6131E+00  0.3042E+01
  0.114  0.6074E+00  0.3048E+01
  0.124  0.6019E+00  0.3054E+01
  0.134  0.5964E+00  0.3060E+01
  0.144  0.5911E+00  0.3066E+01
  0.154  0.5860E+00  0.3071E+01
  0.164  0.5809E+00  0.3077E+01
  0.174  0.5760E+00  0.3083E+01
  0.184  0.5712E+00  0.3089E+01
  0.194  0.5666E+00  0.3094E+01
  0.204  0.5620E+00  0.3100E+01
  0.214  0.5568E+00  0.3106E+01
  0.224  0.5529E+00  0.3111E+01
  0.234  0.5491E+00  0.3117E+01
  0.244  0.5454E+00  0.3122E+01
  0.254  0.5416E+00  0.3127E+01
  0.264  0.5379E+00  0.3133E+01
  0.274  0.5342E+00  0.3138E+01
  0.284  0.5306E+00  0.3144E+01
  0.294  0.5270E+00  0.3149E+01
  0.304  0.5234E+00  0.3154E+01
  0.314  0.5198E+00  0.3159E+01
  0.324  0.5163E+00  0.3164E+01
  0.334  0.5127E+00  0.3170E+01
  0.344  0.5093E+00  0.3175E+01
  0.354  0.5058E+00  0.3180E+01
  0.364  0.5024E+00  0.3185E+01
  0.374  0.4990E+00  0.3190E+01
  0.384  0.4956E+00  0.3195E+01
  0.394  0.4923E+00  0.3200E+01
  0.404  0.4890E+00  0.3204E+01
  0.414  0.4857E+00  0.3209E+01
  0.424  0.4825E+00  0.3214E+01
  0.434  0.4792E+00  0.3219E+01
  0.444  0.4760E+00  0.3224E+01
  0.454  0.4729E+00  0.3228E+01
  0.464  0.4697E+00  0.3233E+01
  0.474  0.4666E+00  0.3238E+01
